CUSTOMER_ID,OVERDUE_BALANCE,BASE_USAGE,CREDIT_HISTORY,ALTERNATE_USAGE,STANDING_CHARGE,BASE_CHARGE,ALTERNATE_CHARGE,LEVY,TAX,TOTAL_NET,TOTAL_TO_PAY,FIRST_NAME,LAST_NAME,PHONE_1,EMAIL,AGE,IS_REGISTERED_FOR_ALERTS,OWNS_HOME,COMPLAINTS,HAS_THERMOSTAT,HAS_HOME_AUTOMATION,PV_ZONING,WIND_ZONING,SMART_METER_COMMENTS,IS_CAR_OWNER,HAS_EV,HAS_PV,HAS_WIND,EBILL,IN_WARRANTY,CITY,MARITAL_STATUS,EDUCATION,SEGMENT,EMPLOYMENT,BUILDING_TYPE,MISSED_PAYMENT,BILLING_MONTH,RATIO_THIS_MONTH_BASE_USAGE_VS_LAST_MONTH,RATIO_THIS_MONTH_BASE_USAGE_VS_AVG_LOOKBACK_WINDOW,RATIO_THIS_MONTH_ALTERNATE_USAGE_VS_LAST_MONTH,RATIO_THIS_MONTH_ALTERNATE_USAGE_VS_AVG_LOOKBACK_WINDOW,RATIO_THIS_MONTH_TOTAL_TO_PAY_VS_LAST_MONTH,RATIO_THIS_MONTH_TOTAL_TO_PAY_VS_AVG_LOOKBACK_WINDOW,NUM_MISSED_PAYMENTS_LOOKBACK_WINDOW,BILLING_MONTH_NUMBER,Partition
341,0.000000,457.560000,A,112.620000,7.490000,67.440000,10.160000,2.550000,17.180000,87.650000,104.820000,Rebecca,Effertz,724-776-1854,Rebecca.Effertz@fiona.info,17,1,0,1,1,0,0,0,Positive,0,0,0,0,0,1,Palo Alto,U,Some high school,Budget Payment Plan Members,Employed full-time,Condominium,Paid,201904,1.010066,0.968613,1.003296,0.963031,1.008369,0.970586,0,4,1_Training
374,0.000000,1161.670000,A,0.000000,5.620000,150.320000,0.000000,4.680000,31.480000,160.620000,192.100000,Reba,OKeefe,989-378-5740,Reba.OKeefe@otto.us,34,1,0,0,1,1,1,0,Negative,1,1,1,0,1,0,Mountain View,S,Bachelors degree or more,Budget Payment Plan Members,Student,Condominium,Paid,201903,0.865942,0.906075,0.000000,0.000000,0.870136,0.909148,0,3,1_Training
398,0.000000,449.210000,A,0.000000,5.620000,58.130000,0.000000,1.910000,12.870000,65.660000,78.530000,Sydnee,Farrell,559-534-4188,Sydnee.Farrell@mabelle.io,17,0,1,1,1,0,0,0,Neutral,0,0,0,0,0,1,Palo Alto,S,Bachelors degree or more,0,Employed part-time,Condominium,Paid,201904,1.005101,0.949196,0.000000,0.000000,1.004605,0.953458,0,4,1_Training
427,0.000000,888.020000,A,0.000000,5.620000,114.910000,0.000000,3.620000,24.330000,124.150000,148.480000,Susanna,Schaefer,484-261-6798,Susanna.Schaefer@elta.ca,15,1,1,0,1,1,0,0,Neutral,0,0,0,0,1,0,Cupertino,S,Some college,High Flyers,Employed full-time,Apartment,Paid,201901,0.893290,0.955593,0.000000,0.000000,0.897757,0.957585,0,1,1_Training
435,0.000000,670.170000,B,0.000000,14.870000,86.720000,0.000000,3.050000,20.510000,104.640000,125.150000,Stephen,Conn,305-284-4311,Stephen.Conn@bettye.ca,71,1,1,0,0,1,1,1,Neutral,1,1,1,0,1,0,Cupertino,M,Masters degree,High Flyers,Employed full-time,Apartment,Paid,201808,3.169702,0.000000,0.000000,0.000000,2.405805,0.000000,0,8,1_Training
441,0.000000,894.340000,A,0.000000,5.620000,115.730000,0.000000,3.640000,24.500000,124.990000,149.490000,Rickey,Smitham,412-340-3623,Rickey.Smitham@yessenia.org,24,1,0,0,1,1,1,0,Neutral,0,0,1,0,1,1,Palo Alto,M,Associate degree,Budget Payment Plan Members,Employed part-time,Apartment,Paid,201808,4.760673,0.000000,0.000000,0.000000,4.054516,0.000000,0,8,1_Training
465,0.000000,1427.990000,A,0.000000,14.870000,184.780000,0.000000,5.990000,40.310000,205.640000,245.950000,Kristina,Towne,707-667-5855,Kristina.Towne@carlee.co.uk,50,0,1,1,1,1,1,0,Neutral,1,1,0,0,0,0,Cupertino,U,High school graduate,Budget Payment Plan Members,Employed part-time,Apartment,Paid,201808,7.418515,0.000000,0.000000,0.000000,5.019388,0.000000,0,8,1_Training
499,0.000000,445.090000,A,0.000000,7.350000,57.590000,0.000000,1.950000,13.110000,66.890000,80.000000,Alexane,Weber,732-335-1617,Alexane.Weber@stephania.me,19,1,0,1,0,1,1,1,Neutral,0,0,0,0,0,0,Mountain View,M,Associate degree,High Flyers,Employed full-time,Apartment,Paid,201904,0.978134,0.954589,0.000000,0.000000,0.980512,0.959501,0,4,1_Training
503,0.000000,738.440000,A - Excellent,0.000000,14.870000,95.550000,0.000000,3.310000,22.290000,113.740000,136.030000,Elouise,Hickle,602-391-5153,Elouise.Hickle@jeffery.org,74,0,1,0,0,0,0,0,Positive,1,0,0,0,1,1,Santa Clara,U,High school graduate,High Flyers,Employed full-time,Apartment,Paid,201810,0.872561,1.169442,0.000000,0.000000,0.887808,1.143365,0,10,2_Testing
533,0.000000,995.820000,A - Excellent,0.000000,5.620000,128.860000,0.000000,4.030000,27.150000,138.510000,165.660000,Ansley,Bogisich,212-851-7140,Ansley.Bogisich@grady.io,48,0,1,0,1,1,1,1,Positive,1,0,0,1,0,0,Mountain View,M,Associate degree,Green Advocate,Not currently employed,Apartment,Paid,201906,1.094260,1.104544,0.000000,0.000000,1.089940,1.099732,0,6,1_Training
549,0.000000,1059.260000,A,0.000000,14.870000,137.070000,0.000000,4.560000,30.670000,156.500000,187.170000,Trent,Pouros,732-827-0286,Trent.Pouros@matteo.biz,42,0,1,0,0,1,1,1,Neutral,1,0,1,0,0,0,Cupertino,M,Some high school,0,Employed full-time,Apartment,Paid,201812,1.145072,1.110301,0.000000,0.000000,1.129026,1.098437,0,12,1_Training
585,0.000000,559.460000,A,0.000000,8.730000,72.390000,0.000000,2.430000,16.380000,83.560000,99.940000,Nels,Ratke,208-520-0198,Nels.Ratke@gregorio.ca,61,1,1,0,1,0,0,0,Positive,1,0,0,0,1,0,Mountain View,M,Some college,0,Employed full-time,Apartment,Paid,201808,2.611249,0.000000,0.000000,0.000000,2.225340,0.000000,0,8,1_Training
619,0.000000,472.890000,B,0.000000,7.350000,61.190000,0.000000,2.060000,13.840000,70.600000,84.440000,Monty,Thompson,208-733-7745,Monty.Thompson@kole.co.uk,59,0,1,0,0,1,1,1,Negative,0,0,1,0,0,1,Santa Clara,S,Associate degree,Budget Payment Plan Members,Employed part-time  Student,Apartment,Paid,201904,0.976098,0.910764,0.000000,0.000000,0.978674,0.919625,0,4,1_Training
622,0.000000,369.970000,A,0.000000,14.870000,47.870000,0.000000,1.880000,12.670000,64.630000,77.290000,Valentina,Stokes,239-282-3869,Valentina.Stokes@maribel.co.uk,44,1,0,1,1,0,0,0,Negative,1,0,0,0,0,0,Palo Alto,S,Associate degree,Budget Payment Plan Members,Employed full-time,Apartment,Paid,201807,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,7,1_Training
648,0.000000,291.340000,A,282.970000,7.490000,42.940000,25.520000,2.280000,15.330000,78.240000,93.570000,Terence,Boyer,408-248-0939,Terence.Boyer@jeramy.org,19,1,1,0,0,0,1,1,Neutral,1,0,0,0,1,1,Palo Alto,U,Some college,High Flyers,Employed full-time,Apartment,Paid,201903,0.899642,0.917221,0.906839,0.921696,0.911100,0.926313,0,3,1_Training
688,0.000000,501.930000,A,474.820000,8.950000,73.980000,42.830000,3.770000,25.390000,129.540000,154.930000,Lee,Fritsch,909-888-2896,Lee.Fritsch@gabrielle.name,17,0,0,0,0,0,1,0,Neutral,1,0,0,0,0,0,Santa Clara,S,Associate degree,Budget Payment Plan Members,Employed full-time,Apartment,Paid,201901,0.999243,1.019037,0.979515,0.979872,0.992505,1.004040,0,1,1_Training
705,0.000000,1067.320000,A - Excellent,0.000000,14.870000,138.110000,0.000000,4.590000,30.880000,157.570000,188.450000,Hassan,OReilly,503-323-4425,Hassan.OReilly@reynold.biz,66,0,0,0,0,1,1,1,Negative,1,0,1,0,0,1,Mountain View,S,High school graduate,Budget Payment Plan Members,Unknown,Apartment,Paid,201811,1.218013,1.178604,0.000000,0.000000,1.192722,1.158457,0,11,1_Training
707,0.000000,388.730000,A,378.970000,7.490000,57.300000,34.180000,2.970000,19.980000,101.940000,121.920000,Lucile,Roob,704-261-0498,Lucile.Roob@bulah.me,21,0,1,0,0,1,0,1,Negative,0,0,0,0,1,1,Mountain View,S,Some college,0,Employed full-time,Apartment,Paid,201902,0.924931,0.993644,0.934482,0.989797,0.933538,0.992780,0,2,1_Training
709,0.000000,416.820000,A,0.000000,8.730000,53.940000,0.000000,1.880000,12.650000,64.550000,77.200000,Joelle,Cummerata,620-766-8101,Joelle.Cummerata@frederik.name,54,0,1,0,0,1,0,1,Negative,0,0,0,0,0,1,Mountain View,U,High school graduate,Budget Payment Plan Members,Retired,Apartment,Paid,201906,0.981931,0.941966,0.000000,0.000000,0.984443,0.949686,0,6,2_Testing
728,0.000000,1502.200000,A,0.000000,20.020000,194.380000,0.000000,6.430000,43.280000,220.840000,264.120000,Bessie,Waelchi,815-894-1024,Bessie.Waelchi@christiana.tv,46,1,0,0,1,1,1,1,Negative,1,0,1,0,0,0,Santa Clara,M,Associate degree,High Flyers,Employed full-time,Apartment,Paid,201904,0.879277,0.885628,0.000000,0.000000,0.889293,0.895180,0,4,1_Training
787,0.000000,326.320000,A,0.000000,14.870000,42.230000,0.000000,1.710000,11.530000,58.810000,70.340000,Linnea,Gleichner,732-416-0522,Linnea.Gleichner@bryce.me,20,1,1,0,1,1,1,1,Negative,1,1,1,0,1,1,Mountain View,S,High school graduate,Budget Payment Plan Members,Employed full-time,Apartment,Paid,201807,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,7,1_Training
815,0.000000,89.540000,A,0.000000,5.620000,11.590000,0.000000,0.520000,3.470000,17.720000,21.200000,Delia,Brekke,801-440-9445,Delia.Brekke@randall.io,28,1,1,0,1,1,0,1,Positive,0,0,0,0,0,0,Sunnyvale,U,Associate degree,Green Advocate,Unknown,Apartment,Paid,201807,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,7,1_Training
830,0.000000,1929.780000,A,0.000000,34.930000,249.710000,0.000000,8.540000,57.460000,293.180000,350.650000,Karson,Pollich,650-814-5428,Karson.Pollich@mellie.biz,54,1,1,1,1,0,1,1,Positive,1,1,1,0,1,1,Palo Alto,S,High school graduate,Green Advocate,Not currently employed,Apartment,Paid,201810,0.913445,1.032872,0.000000,0.000000,0.923249,1.028732,0,10,1_Training
858,0.000000,925.530000,A,0.000000,17.450000,119.760000,0.000000,4.120000,27.700000,141.330000,169.030000,Dale,Kertzmann,631-523-9589,Dale.Kertzmann@tracey.io,58,0,0,0,0,1,1,0,Positive,1,0,0,0,0,1,Mountain View,S,Associate degree,0,Employed full-time  Student,Apartment,Paid,201810,0.958830,1.170717,0.000000,0.000000,0.963848,1.145811,0,10,1_Training
888,0.000000,693.630000,A,509.000000,8.950000,102.240000,45.910000,4.710000,31.720000,161.820000,193.530000,Garret,Raynor,347-226-6059,Garret.Raynor@damien.biz,37,1,1,0,0,1,0,1,Negative,0,0,0,0,1,0,Santa Clara,S,Masters degree,Green Advocate,Unknown,Apartment,Paid,201906,1.147254,1.092262,1.148155,1.117781,1.137943,1.093781,0,6,1_Training
893,0.000000,1727.750000,A,0.000000,20.020000,223.570000,0.000000,7.310000,49.180000,250.900000,300.070000,Amie,Guªann,561-834-4255,Amie.Guªann@hipolito.us,49,0,1,1,1,1,0,1,Negative,0,0,0,0,0,0,Mountain View,M,Some high school,Budget Payment Plan Members,Employed full-time,Apartment,Paid,201905,0.972684,0.899703,0.000000,0.000000,0.974855,0.907168,0,5,2_Testing
918,0.000000,880.800000,A,0.000000,5.620000,113.980000,0.000000,3.590000,24.140000,123.180000,147.330000,Cristian,Hane,978-970-2690,Cristian.Hane@hillard.biz,16,1,1,0,0,1,1,0,Positive,0,0,1,0,0,0,Palo Alto,U,Bachelors degree,Budget Payment Plan Members,Retired,Dormitory,Paid,201905,1.007700,0.966867,0.000000,0.000000,1.007385,0.968406,0,5,1_Training
919,0.000000,426.110000,A,0.000000,7.350000,55.140000,0.000000,1.870000,12.620000,64.360000,76.980000,Jeanne,Lang,773-392-8843,Jeanne.Lang@electa.name,72,0,1,0,1,1,0,1,Positive,1,0,0,0,0,0,Santa Clara,S,Bachelors degree or more,High Flyers,Student,Dormitory,Paid,201902,1.058948,1.043075,0.000000,0.000000,1.051639,1.037839,0,2,1_Training
943,0.000000,529.580000,A,0.000000,5.620000,68.530000,0.000000,2.220000,14.970000,76.370000,91.340000,Nola,Zboncak,619-516-0825,Nola.Zboncak@ulises.com,75,0,1,0,1,0,1,0,Neutral,0,0,0,0,1,0,Sunnyvale,S,Associate degree,High Flyers,Employed full-time,Dormitory,Paid,201809,1.132162,0.000000,0.000000,0.000000,1.120874,0.000000,0,9,1_Training
995,0.000000,301.850000,A,226.300000,8.950000,44.490000,20.410000,2.220000,14.910000,76.070000,90.980000,Jaden,Kling,978-761-4394,Jaden.Kling@lesley.ca,44,1,0,0,1,0,0,1,Neutral,0,0,0,0,1,0,Sunnyvale,U,High school graduate,High Flyers,Employed full-time,Villa,Paid,201905,1.085752,1.026573,1.121963,1.084435,1.084128,1.038505,0,5,1_Training
26,0.000000,481.770000,A,0.000000,8.730000,62.340000,0.000000,2.130000,14.350000,73.200000,87.550000,Jonatan,Frami,715-506-5772,Jonatan.Frami@bridie.ca,16,1,1,1,0,1,0,1,Positive,1,1,0,0,0,0,Cupertino,U,Bachelors degree or more,High Flyers,Employed part-time,Townhouse,Paid,201904,0.975776,0.910850,0.000000,0.000000,0.978650,0.920900,0,4,2_Testing
53,0.000000,670.680000,A,0.000000,5.620000,86.790000,0.000000,2.770000,18.650000,95.180000,113.830000,Dorris,Wisoky,920-799-7270,Dorris.Wisoky@dangelo.ca,54,0,1,0,1,1,0,1,Positive,1,0,0,0,1,0,Cupertino,S,Bachelors degree or more,Budget Payment Plan Members,Employed part-time,Townhouse,Paid,201906,1.084769,1.072505,0.000000,0.000000,1.079162,1.067757,0,6,2_Testing
